0,1
23,Heads of primary schools
23,Heads of secondary schools and sixth form colleges
23,Heads of special needs education schools
23,Head teachers and principals n.e.c.
23,Education managers
23,Educational advisers
23,School inspectors
23,Early education and childcare services managers
23,Bursars
23,Educational administrators
23,Examiners and markers
23,Other educational professionals n.e.c.
24,Barristers and advocates
24,Judges
24,Barristers and judges n.e.c.
24,Commercial solicitors and lawyers
24,Criminal solicitors and lawyers
24,Family solicitors and lawyers
24,Property solicitors and lawyers
24,Solicitors and lawyers n.e.c.
24,Conveyancers
24,Litigation executives
24,Paralegals
24,Patent and trademark attorneys
24,Legal professionals n.e.c.
24,Auditors (qualified accountant)
24,Financial accountants (qualified)
24,Forensic accountants
24,Fund accountants
24,Insolvency practitoners
24,Chartered and certified accountants n.e.c.
24,Credit analysts
24,Financial advisers and planners
24,Financial analysts
24,Mortgage advisers
24,Finance and investment analysts and advisers n.e.c.
24,Taxation experts
24,Business analysts and consultants
24,Management advisers and consultants
24,Risk analysts
24,Management consultants and business analysts n.e.c.
24,Commercial managers
24,Marketing managers
24,Marketing and commercial managers n.e.c.
24,Actuaries and actuarial analysts
24,Economists
24,Mathematicians
24,Statistical data scientists
24,Statisticians
24,"Actuaries, economists and statisticians n.e.c."
24,Intelligence analysts
24,Researchers in media and entertainment
24,Business and related research professionals n.e.c.
24,Professional/chartered company secretaries
24,Policy officers
24,"Business, research and administrative professionals n.e.c."
24,Business change managers
24,Clinical trials coordinators
24,Risk managers
24,Business and financial project management professionals n.e.c.
24,Architects
24,Landscape architects and designers
24,Chartered architectural technologists
24,Town planning officers
24,Urban designers
24,"Chartered architectural technologists, planning officers and consultants n.e.c."
24,Quantity surveyors
24,Building control surveyors
24,Hydrographic surveyors
24,Land surveyors
24,Property surveyors
24,Chartered surveyors n.e.c.
24,Construction project and contract managers
24,Transport planners
24,Construction project managers and related professionals n.e.c.
24,Adult social workers
24,"Children, family and school social workers"
24,Criminal justice social workers
24,Mental health and healthcare social workers
24,Social workers n.e.c.
24,Probation officers
24,Clergy
24,Youth work professionals
24,Adoption officers
24,Children and family services professionals
24,Mediators and restorative practice professionals
24,Welfare professionals n.e.c.
24,Librarians
24,Archivists
24,Collection managers and curators
24,Conservators
24,Museum education officers
24,"Archivists, conservators and curators n.e.c."
24,Garment technologists
24,Planning engineers
24,Quality control engineers
24,Quality control and planning engineers n.e.c.
24,Compliance and regulatory professionals
24,Quality assurance professionals
24,Environmental health professionals
24,"Newspaper, periodical and broadcast editors"
24,Broadcast journalists
24,Newspaper journalists and reporters
24,Newspaper and periodical broadcast journalists and reporters n.e.c.
24,Press officers
24,Public relations officers
24,Social media managers
24,Public relations professionals n.e.c.
24,Advertising account managers
24,Creative directors
24,Fundraising managers
31,Biological laboratory technicians
31,Chemical laboratory technicians
31,Health physics monitors
31,Laboratory food technicians
31,Medical laboratory technicians
31,Laboratory technicians n.e.c.
31,Avionics technicians
31,Electrical and electronics technicians n.e.c.
31,Aerospace technicians
31,Wind turbine technicians
31,Engineering technicians n.e.c.
31,Building technicians
31,Civil engineering technicians
31,Surveying technicians
31,Building and civil engineering technicians n.e.c.
31,Quality assurance technicians
31,"Planning, process and production technicians"
31,School technicians
31,Textile consultants
31,"Science, engineering and production technicians n.e.c."
31,Architectural technicians
